question,answer
"Dokter, gimana nih ya dok, saya gak sengaja terlanjur pake make upyg ternyata udah expired dok. Make up yg saya pake itu bedak. Karna emang jarang make up an jadi saya gak sadar kalo itu udah expired, bagaimana ya penanganan lanjutannya dok?","Selamat sore, terima kasih telah bertanya di Alodokter. Kami memahami kekhawatiran Anda. Yang paling dikhawatirkan dari menggunakan make up kedaluwarsa adalah potensinya untuk mengiritasi kulit, yang biasanya ditandai dengan kemerahan, gatal, perih, bengkak, dan semacamnya. Untuk menghindari hal ini, jika make up sudah terlanjur digunakan, maka yang dapat Anda lakukan pertama kali adalah membersihkan wajah Anda dengan air bersih dan sabun wajah."
"Dok bayi saya kan tali pusarnya baru puput ya dok, tapi kok malah pusar bayi bernanah dok, gimana pengobatan yg benar dok? biar gak jadi infeksi ","Dengan perawatan yang tepat, tali pusar bayi yang baru lahir semestinya akan mengering dan puput dengan sendirinya dalam waktu kurang dari 1-2 minggu. Adapun tali pusar bayi Anda yang telah puput namun tampak bernanah bisa disebabkan oleh proses penyembuhan yang wajar. Namun memang, keluhan seperti yang bayi Anda alami mungkin juga menandakan suatu abnormalitas, misalnya omphalitis (infeksi pusar), granuloma umbilikalis, urakus paten, dan sebagainya."
"Jadi gini dok, saya udah nikah 3 tahun, selama itu saya udah keguguran 2x. Sekarang saya telat haid pas di testpack hasilnya positif. Saya pas keguguran dulu itu di usia kehamilan 7 minggu dan 8 minggu. Saya khawatir ini akan kejadian yg kaya dulu lagi. Minta saran dong dokter. Agar kehamilan saya ini baik-baik saja dan tetep sehat sampe bayi lahir. terima kasih","Alo, selamat malamkeguguran dapat disebut berulang jika telah terjadi sebanyak 2 kali berturut-turut atau lebih. keguguran merupakan suatu kondisi berhentinya kehamilan secara spontan di kehamilan dibawah usia 20 minggu."
"Alodokter, maaf dok mau nanya. saya beberapa hari ini tidak enak badan dokter dan gejala yang saya alami ini badan saya mendadak gematar, kepala psusing, dan agak sedikit lemas, pengennya rebahan aja. saya pun juga keluar keringat dingin dokter. ini saya menderita apa ya dokter? jika saya harus ke dokter, pemeriksaan apa sajaa yg sebaimknya perlu saya lakuin dokter?","Selamat siang, terima kasih telah bertanya di Alodokter. Keluhan yang Anda alami sebenarnya tidak spesifik menggambarkan suatu kondisi penyakit tertentu, dan dapat terjadi pada sejumlah kondisi berikut:Kadar gula darah rendahAnemia atau kurang sel darah merahDehidrasiKurang tidur, kelelahan, faktor stressDan bisa juga sejumlah faktor lainnya tergantung dari hasil pemeriksaan. Saran kami, jika keluhan ini sudah berlangsung beberapa hari, sebaiknya Anda konsultasikan diri Anda ke dokter umum terdekat."
"Assalamualaikum.. saya ingin bertanya dong dokter, saya udah hampir sebulanan ini mengalami penyakit yang gejalanya perut saya sering kembung dan begah. makan dikit jg terasa begitu, pokoknya serba salah dok. Saya sudah coba berobat kata nya asam lambung tapi ga ada pengaruh obat nya dok, Padahal saya sebelumnya dalam keadaan sehat walafiat dok, dan udah berobat sampe 3x hasilnya jg dokter bilang asam lambung., setelah makan siang kok malah mualnya makin menjadi, Kira-kira penyebabnya apa ya dokter? ntuk anjuran obat dari dokter nya apa dok, mohon pencerahan nya dok","Waalaikumsalam. Alo, terima kasih atas pertanyaannya untuk Alodokter.Kondisi tubuh yang mengalami gejala mual dan begah setelah makan dapat disebabkan oleh banyak kemungkinan penyebab yaitu seperti flu perut atau gastroenteritis dimana merupakan infeksi atau peradangan sistem pencernaan, tukak lambung, GERD, kehamilan, alergi makanan, keracunan makanan, atau karena konsumsi alkohol berlebih."
"Halo dok, seminggu yang lalu anak saya jatuh dari tangga dan mendapatkan 5 jahitan di dahinya.. Sudah seminggu ini luka jahitannya belum kering.. Kira2 obat yang dapat mengatasinya luka agar cepat kering apa ya?","Alo, selamat siangluka yang terbuka lebar perlu untuk melakukan prosedur menjahit, setelah melakukan jahitan maka perlu menjaga dan merawatnya dengan tepat dan benar agar luka jahitan tersebut cepat kering dan tidak menimbulkan infeksi."
Dok saya sering bepergian ini saya masih jet lag dan insomnia parah. Saya mau konsumsi obat tidur tp takut soalnya ada beberapa jenis obat tidur yang sering disalahgunakan sebagai narkotika. kira-kira itu obatnya apa ya dokter?,"Alo, terima kasih atas pertanyaannya untuk Alodokter.Jet lag merupakan kondisi dimana terjadinya gangguan tidur berupa rasa kantuk pada siang hari dan sulit tidur pada malam hari, sehingga dapat pula menimbulkan insomnia, dimana disebabkan oleh tubuh yang memiliki jam biologis yang masih sama dengan zona waktu sebelumnya."
"Dokter, nenek saya usia 67 th, beliau kan dari dulu gak terlalu suka makan buah2an. saya mau kasih vitamin C, tapi masih bingung dok pemilihan vitamin C yang tepat untuk usia nenek saya itu dosisnya yg berapa ya dok? soalnya nenek saya ini kan lagi sakit meriang. saya mau kasih vitamin C, biar cepet pemulihanya. makasih","Vitamin C memang baik peranannya dalam meningkatkan daya tahan tubuh, sehingga lebih cepat sembuh dari sakit. Vitamin C ini, secara alamiah bisa diperoleh dari beragam bahan pangan, seperti jambu, jeruk, buah berry, kecambah, dan sebagainya. Jika perlu pun, vitamin C tersedia dalam bentuk suplemen. Bagi orang dewasa yang sehat, asupan vitamin C berkisar 75 mg perhari dinilai sudah cukup. Hanya saja, ada beberapa kondisi yang membuat seseorang memerlukan asupan vitamin C lebih besar, atau malah sebaliknya."
"Anak saya usia 7 bulan, hari ini setelah minum asi dia muntah. setiap minum asi langsung muntah. Apa yg dia makan muntah semua. dia tidak sedang demam, batuk atau pilek. kira2 penyebabnya apa dok? apakah asi saya tdk bagus atau anak saya keracuanan dok? bagaimana cara mengatasinya dok? terima kasih","Muntah-muntah pada bayi usia 7 bulan bisa terjadi karena beragam pencetus, contohnya keracunan makanan, infeksi pencernaan, alergi susu atau makanan tertentu, dispepsia, obstruksi usus, radang usus, cidera kepala, tumor otak, gangguan hati, mabuk perjalanan, dan sebagainya.Muntah ini sejatinya tidaklah berbahaya. Namun, jika terjadinya sangat sering, khawatirnya bayi akan kehilangan banyak cairan dan elektrolit yang dampaknya sangat berbahaya nantinya."
"Bu dokter, saya mau nanya. saya kan hamil trimester 2 usia kehamilan 15 minggu. Saya saat nimbang di dokter kandungan. BB saya kok turun dok. Nafsu makan jg normal padahal dok. Saya pernah baca kalau BB turun saat hamil itu pertanda kehamilan saya sehat. apakah benar dok? ","Di minggu-minggu pertama, fluktuasi hormon dalam tubuh ibu hamil kerap membuatnya merasakan mual, kembung, muntah, dan kehilangan nafsu makan yang amat hebat hingga membuat berat badannya bisa menurun. Namun semestinya, asal ditangani dengan tepat, keluhan ini akan membaik, sehingga tidak sampai berlanjut hingga ke trimester 2 apalagi 3.Kondisi Anda yang berat badannya turun di trimester kedua kehamilan tidak bisa dianggap wajar. Bisa jadi, hal ini menandakan asupan gizi yang Anda konsumsi tidak adekuat."
"Mohon maaf sebelumnya, saya mau bertanya, saya seorang perempuan umur 50 tahun.. di wajah saya sudah lama banget menahun gitu muncul flek hitam.. Kira2skincare yang cocok untuk menghilangkan flek hitam menahun berbahan jenis apa ya dok? Mohon jawaban nya dok, Terimakasih ","Alo, selamat siangflek hitam merupakan suatu kondisi di dapatkannya bintik-bintik kecil di kulit yang berwarna lebih gelap dari pada area di sekelilingnya. flek hitam ini umumnya muncul di wajah. kondisi ini umumnya terjadi akibat peningkatan produksi melanin di kulit terutama setelah terpapar sinar matahari. maka penyebab terjadinya flek hitam ini ialah akibat paparan buruk sinar matahari serta faktor genetik."
"Anak saya usianya sekarang 5 tahun dok, udah sekolah TK, udah 3 hari ini anak saya demam tinggi, udah agak mendingan soalnya saya kasih obat penurun demam. Namun sekarang saat demamnya mendingan malah anak saya mengalami mimisan ini jadinya dok. Saya belom bawa ke RS dok, cuma di rumah aja, ini saya bingung dok gimana solusinya? dan harus saya apakan ini dok, penanganan yg tepat bagaimana ya dok?","Alo, terima kasih atas pertanyaannya untuk Alodokter."
"Halo dok, kenapa ya tbtb saja saya mengalami kliyengan... tidur pun masih kliyengan, terus besoknya susah tidur, jantung berdebar dan panik. Saya kenapa ya dok, apakah ini vertigo ya bagaimana cara mengatasinya ya ??","Pusing kliyengan, disertai sulit tidur, jantung berdebar, dan perasaan panik mungkin saja muncul karena vertigo. Namun di samping itu, serangkaian keluhan yang Anda alami bisa juga muncul karena faktor lain, contohnya anemia, hipotensi, hipoglikemia, gangguan cemas, lemah jantung, gangguan katup jantung, gangguan keseimbangan elektrolit, dehidrasi, gangguan psikosomatis, efek samping obat, asupan kafein berlebihan, dan banyak lagi yang lainnya."
"halo dok, saya mau tanya.. gimana ya caranya kumis dan jenggot tidak cepat tumbuh atau bahkan tidak tumbuh lagi.. soalnya semakin saya cukur semakin cepat tumbuhnya. apakah ada produk perawatan yang kandungan bisa memperlambat pertumbuhan kumis dan jenggot atau ada cara lain yg bisa saya lakukan agar kumis dan jenggot tidak cepat tumbuh atau tidak tumbuh lagi? terima kasih","Kecepatan pertumbuhan rambut (termasuk kumis dan jenggot) di tubuh masing-masing orang bisa berbeda, ada yang cepat dan ada pula yang lambat. Hal ini banyak dipengaruhi oleh jenis kelamin, usia, ras, kondisi hormon, status gizi, perawatan kulit yang dijalani, dan status kesehatan secara umum.Sejatinya, pertumbuhan kumis dan jenggot yang terlalu cepat tidak spesifik menandakan kondisi yang berbahaya. Hanya saja, jika hal ini dirasa cukup mengganggu, Anda bisa berkonsultasi dengan dokter atau dokter kulit terdekat."
"Dok saya punya kebiasaan minum air putih banyak dari kecil sampe sekarang, terkadang ibu saya tuh melihatnya berlebihan sampai beliau menegur saya karena minum banyak. Spertinya ibu saya khawatir saya kena dm, sedangkan di keluarga kami tidak ada riwayat dm. Apakah ada masalah jika saya haus terus walaupun sedang tidak melakukan ktivitas yg berlebihan hingga berkeringat..","Alo, selamat pagisaya mengerti akan kekhwatiran anda, dimana dari gejala yang anda alami, anda tidak bisa mendiagnosa penyakit anda sendiri tanpa melakukan pemeriksaan secara langsung ke dokter, karena menegakan suatu diagnosa yaitu dengan melalui gejala kliniks, pemeriksaan fisik hingga pemeriksaan tambahan lainnya dengan begitu baru bisa menegakan suatu diagnosa penyakit ya."
"Saya lagi hamil 3 bulan, saya gak napsu banget kalo mau minum susu hamil tuh dok. Misalkan saya mau minum susu kental manis aja boleh gak dokter?","Penurunan nafsu makan saat hamil seringnya wajar terjadi karena pengaruh hormonal. Umumnya, keluhan ini tidak berlangsung lama, dan bisa membaik asal ditangani dengan benar. Namun memang, faktor psikis hingga gangguan medis tertentu, seperti GERD, gastritis, infeksi pencernaan, radang usus, batu atau radang empedu, gangguan hati, dan sebagainya bisa turut memperparah keluhan ini sehingga memerlukan penanganan yang lebih kompleks.Sejatinya, asal tidak alergi, Anda tidak dilarang mengkonsumsi susu kental manis selagi hamil."
"Selamat sore dokter, dok saya kenapa ya dok tiap malem ngerasa mulut saya kering sama haus, padahal saya selalu berusaha tiap sebelum tidur saya minum air putih dulu. tp mengapa mulut dan tenggorokan kering mulu ya? apa ini jadi identifikasi saya ada penyakit tertentu dokter?","Mulut dan tenggorokan yang kerap terasa kering disertai sensasi haus terus menerus mungkin munculnya karena kebiasaan bernapas lewat mulut. Bukan itu saja, keluhan seperti ini bisa pula disebabkan oleh dehidrasi, kekurangan nutrisi tertentu, regangan pita suara berlebihan, refluks asam lambung, cemas atau stres berat, infeksi virus atau bakteri, fluktuasi hormon, pengaruh obat, radang tenggorokan, kebiasaan merokok, diabetes, alergi terhadap substansi tertentu, xerostomia, dan sebagainya."
"Hi dokter, dok temen saya, wanita usia 24 th, suka menggigil saat malam hari,. sembelit, mual muntah, demam. dan sering memar dan mimisan gitu dok. Ini tu kenapa ya dok? soalnya saya browsing2 ini kok masuk dalam gejala kanker darah dok. tolong penjelasannya ya dokter. ","Selamat sore, terima kasih telah bertanya di Alodokter. Orang yang sering memar dan mimisan tanpa sebab yang jelas, dalam artian karena tidak didahului cedera, benturan, atau hal yang mengiritasi sebelumnya, kemungkinan mengalaminya karena adanya gangguan pada kemampuan pembekuan darah. Sehingga, darah dapat keluar dari pembuluh darah, menyebabkan terbentuknya memar dan mimisan tanpa adanya hal yang memicu kerusakan dari pembuluh darah.Hal tersebut bisa ditemui pada penderita kanker darah, namun, tidak hanya pada kanker darah."
"Saya seorang PRT berusia 21 tahun dok, saya sering mencuci menggunakan tangan dok, terutama untuk baju bayi majikan saya itu jarang saya pakai mesin. Semakin lama telapak tangan saya semakin kasar dan juga parahnya muncul kulit menebal yg mirip kapalan dokter.. Tolong dibantu dok gimana cara supaya telapak tangan saya yg kasar dan sering kapalan ini bisa kembali halus dok?","Alo, selamat siangkapalan atau disebut dengan callus yaitu suatu kondisi kulit menebal dan mengeras, umumnya kulit mengalami kapalan terlihat kering dan berwarna putih kekuningan. bagian kulit yang sering mengalami kapalan ialah telapak dan jari-jari tangan, telapak dan jari-jari kaki serta tumit. kapalan dapat terjadi akibat tekanan atau gesekan yang berlebihan dan berulang pada satu area kulit. hal ini sebenarnya merupakan reaksi alamai tubuh untuk memperkuat jaringan yang mengalami tekanan dan geseakan berulang."
"Ãƒâ€šÃ‚Â Halo dok, tadi pas lagi mandi saya lihat ada benjolan di selangkan sebelah kiri. Kalau ditekan rasanya nyeri gitu. sudah 2 hari benjolan ini ada dok. Sampai hari ini tidak ada demam. Itu aja sih dok. Kira2 kenapa ya dok? Apakah penggunaan celana dalam yg terlalu ketat? Bagaimana cara mengatasinya ya dok? terima kasih dokter","Alo, selamat siangbenjolan di selangkangan yang anda alami kondisi ini dapat disebabkan oleh benyak hal penyebab seperti :absesyaitu suatu benjolan yang disebabkan oleh infeksipembengkakan kelenjar getah beninghernia inguinaliskista yaitu benjolan berupa kantong yang berisi cairanlimfomaatau kanker kelenjar getah beninguntuk memastikan kemungkinan penyebab yang anda alami, diperlukan pemeriksaan lebih lanjut secara langsung ke dokter atau dokter bedah agar dilakukan pemeriksaan secara langsung dan dapat diberikan terapi sesuai penyebab yang mendasari."
"Alodokter, dok anak saya kena sakit campak setelah demam tinggi dok. Kulitnya muncul ruam merah dan gatal. Mama mertua saya pas liat saya menyuapi anak saya di halaman rumah. beliau bilang kalau anak kena campak nggak boleh terkena angin. nantinya malah akan bertambah parah. apakah benar demikian dokter?","Alo, selamat siangcampak atau dalam dunia medis disebut dengan measles ialah suatu penyakit infeksi virus yang ditularkan melalui percikan air liur penderita melalui batuk, bersin dan berbicara serta akibat kontak dengan air liur yang tersentu oleh tangan lalu tangan memegang hidung dan mulut. campak rentan terjadi pada anak yang tidak mendapatkan vaksin campak. campak gejalanya mirip flu lalu beberapa hari setelah gejala mirip flu maka muncul ruam kemerahan yang muncul di wajah dan leher hingga seluruh tubuh."
"Hai dok sya ingin bertnya, ini posisi saya sudah telat haid selama 3 minggu dok, tapi kok dari vagina saya selalu keluar keputihan yg berwarna kuning dan berbau sedikit, apakah ini tanda hamil? atau tdna penyakit?","keputihan dibagi 2 jenis ada yang normal dan abnormal. keputiha normal ditandai dengan keluar cairan bening atau berwarna putih tidak berbau dan tidak menimbulkan gejala. keputihan ini biasanya terjadi akibat hormon karena mau menstruasi, adanya rangsangan, stres dan lainnya. sedangkan keputihan yang abnormal ditandai dengan keluarnya caiaran berubah warna seperti kuning,kehijauan, putih abu-abu, berbau, gatal dan nyeri serta banyak. keputihan abnormal disebabkan karena infeksi bakteri, jamur dan parasit. seperti candidiasis, vaginosis bakterial, trikomoniasis dan lainnya."
"Siang dok, saya mau tanya. Di payudara sebelah kiri ada benjolan kecil. Benjolannya lunak tapi kalo ditekan rasanya sakit. Di bawah ketiak dan lengan saya tidak ada tanda2 pembengkakan. Penyebabnya apa ya dok, apakah itu gejala kanker payudara? atau karena saya mau haid? terima kasih","Selamat sore, terima kasih telah bertanya di Alodokter. Benjolan pada payudara merupakan kondisi yang cukup sering ditemukan pada wanita. Penyebab dari kondisi ini beragam dan tidak selalu berarti kanker. Diantara kemungkinannya adalah:FibroadenomaLipomaKistaBisulPapiloma intraduktalBila itu merupakan keganasan, maka diantara tanda bahayanya adalah benjolannya membesar dengan cepat, keras, bentuknya tidak beraturan, batasnya tidak tegas, nyeri, mengeluarkan cairan atau darah, dan mengubah tampakan kulit disekitarnya."
"Halo dok, kemarin sore saya berenang, saat sedang bilang dari berenang telinga kanan saya sempat kemasukan air. Saya memiringkan kepala ke arah kanan agar arinya keluar. Tadi pagi saat bangun tidur, telinga kanan saya seperti menutup, kayak nggak bisa mendengar gitu dok. Penyebabnya apa ya? apa karena kemasukan air itu ya dok??? tolong penjelasannya. terima kasih","Kemasukan air ke dalam telinga memang bisa membuat telinga meradang, hingga fungsi pendengarannya menjadi terganggu. Namun, asal ditangani dengan tepat, seringnya keluhan ini tidak bertahan lama."
"Halo dokter.. saya mau tanya. Anak saya usia 6 tahun sudah 5 hari ini di kulitnya muncul bintil berisi cairan kayak cacar air gitu, rasanya gatal. Saya sudah membawanya ke puskesmas, dokternya bilang penyebabnya karena infeksi bakter dok.. Bintil-bintilnya sudah pecah dan berubah menjadi kerak berwarna kuning, tinggal rasa gatalnya yang masih ada.. Bagaimana cara mengatasi rasa gatalnya ya dok.. saya kasian lihat anak saya.. terima kasih","Alo, terima kasih atas pertanyaannya untuk Alodokter.Pada munculnya bintil berair pada area kulit tertentu tidak pada seluruh badan, dan dapat pecah menjadi koreng, bisa saja mengarah kepada infeksi bakteri pada kulit yang disebut impetigo dan dapat sering terjadi pada usia anak-anak.Kondisi tersebut perlu diatasi dengan penggunaan obat salep atau obat minum antibiotik tertentu, yang hanya dapat diberikan melalui peresepan dan pemeriksaan dokter sebelumnya."
"Selamat siang. Dokter, saya punya benjolan sebesar bola bekel di tengah tengah tulang belakang. Yang saya ingin tanyakan, kira-kira ini benjolan lemak atau kanker ya dok? tapi benjolan saya tidak merasa sakit apa pun dokter. kenapa ya dok?","Terima kasih atas pertanyaannya.Untuk mengetahui penyebab benjolan lebih lanjut harus dilakukan pemeriksaan langsung oleh dokter agar dapat dilihat dan diperiksa kondisinya. Penyebab adanya benjolan perlu dipastikan apakah dari kulit atau berasal dari tulang. Selain itu perlu diketahui lebih lanjut mengenai keluhan yang dirasakan mulai dari kapan mulai muncul benjolan, kemudian apakah benjolan tidak berubah ukuran atau mengalami pembesaran, apakah benjolan disertai dengan nyeri, bagaimana tekstur benjolan, apakah bisa digerakkan atau tidak dan sebagainya."
"Dok saya memiliki masalah dengan badan saya. Sejak SMP hingga sekrang kuliah tubuh saya berkeringat, sekarang malah keringat yg keluar itu berlebihan. Kenapa ya dok? Cara untuk menghentikan keringat berlebihan secara permanen dok?","Alo, saya dr. Tirtawati Wijaya. Terima kasih sudah bertanya ke Alodokter.Keluarnya keringat secara berlebihan dapat disebabkan oleh berbagai hal berbeda, antara lain:Keturunan atau riwayat keluarga menderita hiperhidrosis.Penyakit jantung, Gangguan tiroid, DiabetesPenyakit infeksi, seperti TB atau tuberkulosis, malaria, dan HIV/AIDSApnea tidurKankerGangguan kecemasan, serangan panik, dllCara untuk menghentikan keringat berlebih juga berbeda, tergantung Dari penyebabnya."
"Sedari semalam saya kebangun terus dan gak bisa tidur dok, sebelumnya saya buka puasa pake kolak. itu kan santan ya dok. dan saya punya riwayat sakit GERD. semalem udh minum obat tapi ini paginya dada saya masih terasa penuh dan sendawa-sendawa mulu, apakah itu ada kaitannya sama gerd saya dok?","Alo, selamat siangkeluhan dada terasa penuh hingga sendawa terus menerus dan memiliki riwayat GERD kondisi ini bisa jadi memang akibat GERD anda kambuh. GERD atau penyakit asam lambung ialah suatu kondisi dimana naiknya isi lambung kekerongkongan yang disebabkan melemahnya katup kerongokangan bawah."
"Dok, saya wanita 24 tahun.. Saya mau tanya bagaimana cara untuk menaikan massa otot wanita.. Kegiatan dan makanan apa yg harus saya konsumsi agar massa otot saya naik.. Saya baru mulai olahraga 2 bulan terakhir ini dok, tapi massa otot saya belum naik.. Mohon solusinya ya dok.. terima kasih","Alo, terima kasih atas pertanyaannya untuk Alodokter.Dalam meningkatkan massa otot, maka anda perlu mencukupi nutrisi yang dibutuhkan dalam pembentukan otot, yaitu protein, yang bisa anda dapatkan melalui telur, dada ayam, daging sapi tanpa lemak, tahu, susu rendah lemak, makanan laut, serta kacang-kacangan dan biji-bijian."
"Permisi dokter, dok teman saya sering merasa depresi, menangis sendiri bahkan pernah saya lihat dia akan melukai dirinya sendiri. Kalau boleh saran dok, tes kesehatan mental itu dimana dokter?","Terima kasih atas pertanyaannya.Untuk mengetahui keluhan lebih lanjut terkait dengan kondisi yang dialami dapat melakukan pemeriksaan ke dokter spesialis kejiwaan atau psikiater. Untuk pemeriksaannya dapat dilakukan di poliklinik rumah sakit yang memang terdapat layanan oleh psikiater.Masalah kesehatan mental dapat terjadi karena berbagai penyebab seperti gangguan suasana perasaan dan mood misalnya mengalami depresi, mengalami gangguan kecemasan, gangguan bipolar dan sebagainya."
"Ãƒâ€šÃ‚Â Saya tadi lagi duduk dok, terus tiba"" aja gitu saya ngerasa sesak nafas dok.. sebelumnya tidak ada gejala khusus yg saya rasakan dok, tapi tiba"" aja pas lagi duduk nyantai saya sesak dok, ini juga pertama kalinya hal ini saya alami dokter.. gejala apakah ini dok?","Alo, saya dr. Tirtawati Wijaya. Terima kasih sudah bertanya ke Alodokter.Sesak nafas merupakan gejala tidak khas yang bisa disebabkan oleh berbagai hal berbeda, antara lain:Gangguan lambung seperti Gastritis, GERD (gastroesophageal Reflux disease), dispepsia.Gangguan jantung seperti gagal jantung, myocard Infarkt.Gangguan paru, misalnya karena Covid, long covid, kebiasaan merokok, PPOK (penyakit paru obstruktif kronik).Kondisi kejiwaan seperti Gangguan kecemasan, serangan panik, depresi."
"Selamat siang, bayi saya abis nyusu dari saya, pas nyusu saya pangku dok, ini bayi saya sepertinya kekenyangan dia mau saya taro di kasur. biar gak gumoh maksudnya dokter. soalnya kemaren pas saya taro langsung muntah. bagusnya posisi tidur bayi agar tidak gumoh setelah menyusu seperti apa dokter?",G.
Selamat pagi dok. saya mau tanya obat tetes mata untuk mata kering. Apakah aman menggunakan obat tetes mata digunakan terus menerus?? Saya minta rekomendasi obat tetes mata yang aman digunakan terus menerus dan tidak ada efek sampingnya dok. terima kasih,"Mata kering bisa terjadi murni karena paparan udara kering, jarang berkedip, fluktuasi hormon, namun bisa juga karena suatu penyakit, misalnya xerophthalmia, diabetes, skleroderma, alergi, gangguan autoimun, disfungsi kelenjar Meibom, blefaritis, lupus, Sjogren syndrome, dan sebagainya.Tergantung penyebabnya, penanganan atas mata kering tentu bisa berbeda-beda. Sebab itu, tanpa arahan dokter, tidak disarankan bagi Anda sembarangan menggunakan obat tetes, apalagi dalam jangka panjang. Sayangnya, Anda tidak menjelaskan obat tetes apa yang selama ini Anda gunakan."
Sore dok. saya sering mengalami sindrom kaki gelisah saat tidur malam. kalo boleh tau penyebab sindrom kaki gelisah itu apa ya dok?? bagaimana cara mengatasinya dok? apakah berbahaya jika sindrom kaki gelisah ini dibiarkan/ tidak diobati dok? mohon penjelasannya. terima kasih,"Alo, selamat siangsindrom kaki gelisah (restless legs syndrome) adalah penyakit saraf yang ditandai dengan sensasi tidak menyenangkan pada kaki yang ditimbulkan oleh dorongan kuat untuk menggerakan dan menghentakan kaki yang dimana sensai ini dapat berupa rasa kesetrum, kesemutan, geli, nyeri, kram dan lainnya. kondisi ini biasanya terjadi saat penderitanya sedang istirahat terutama di malam hari."
"Dokter istri saya hamil 4 minggu, sudah periksa ke dokter kandungan dan di USG saat itu kami diberi tahu kantung kehamilan udah kebentuk. dan kami disuruh balik kembali setelah 2 minggu. saat masuk usia kehamilan 5 minggu, istri saya keluar flek merah pink sedikit saat mengelap vagina pake tissue setelah pipis. kami langsung konsul lewat WA ke dokternya setelah itu dikasih resep obat penguat kandungan (utrogesta*). sampe mau masuk minggu ke 6 tetep keluar flek dok. ini apa yg terjadi pada kehamilan istri saya ya dokter? kenapa masih aja keluar flek ya dokter?","Alo, saya dr. Tirtawati Wijaya. Terima kasih sudah bertanya ke Alodokter.Flek merah pink pada saat buang air kecil dapat disebabkan beberapa kemungkinan, antara lain:masalah pada kandunganmasalah organ reproduksi di luar kandungan, misalnya pada luka di leher rahim, vagina, vulva.masalah di saluran kemih.masalah di area intim di luar urogenital, misalnya fisura ani, ruam di area intim yang meradang dan berdarah, dan masih banyak kemungkinan lainnya."
"Saya ini kan lagi hamil 4 bulan dok, tapi belakangan saya merasa perut saya kembung banget kaya penuh gas gitu dok, apa ya penyebabnya? adakah efek untuk kandungan saya dok?","Perut yang terasa kembung bagai dipenuhi gas biasanya disebabkan oleh masalah asam lambung, misalnya akibat gastritis, tukak lambung, kanker lambung, batu empedu, radang kantung atau saluran empedu, pankreatitis, atau dispepsia fungsional. Mungkin juga, keluhan seperti yang Anda alami muncul karena pencetus lain, seperti obstruksi usus, radang usus, malabsorpsi karbohidrat, alergi makanan, gangguan hati, gangguan cemas, ascites, gangguan psikosomatis, dan banyak lagi kemungkinan lainnya.Sejatinya, kondisi Anda tidak selalu berbahaya bagi janin."
dok saya mau tanya nih soal batuk. Tadinya kan saya pilek terus lama2 batuk berdahak dn tenggorokan gatal. obat batuk yg ampuh apa ya dok? saya udah minunm obh tapi nggak ada perbahan dok. nggak enak bgt tenggorokan saya dok. terima kasih,"Alo, saya dr. Tirtawati Wijaya. Terima kasih sudah bertanya ke Alodokter.Batuk berdahak dan tenggorokan gatal dapat disebabkan oleh berbagai hal berbeda, antara lain:Infeksi virus seperti Covid 19, influenzaInfeksi bakteri seperti Haemophilus influenzae, Mycoplasma pneumoniae, Streptococcus pneumoniae.Iritasi saluran pernafasan bagian atas misalnya oleh debu, asap rokok, iritan lainnya.AlergiBerbagai penyebab yang berbeda ini membutuhkan penanganan Dan obat yang berbeda juga. Bila obatnyÃƒÆ’Ã‚Â  tidak tepat, maka tidak akan bermanfaat."
"Dok saya punya pertanyaan, saya kemaren ke klinik, terus di surat sakit saya ada tulisan anxiety gerd? itu apa yaa? saya periksa dengan keluhan sakit perut disertai mual dan muntah aja","Alo, terima kasih atas pertanyaannya untuk Alodokter.GERD merupakan kondisi dimana terjadi kenaikan asam lambung hingga kerongkongan yang terletak sejajar dengan dada, sehingga dapat disertai dengan keluhan nyeri atau panas pada dada, dan juga sesak napas.Kondisi ini dapat dipicu dari kebiasaan tidak sehat, seperti berat badan berlebih, pola makan tidak teratur dan tidak sehat, serta karena stres atau kecemasan yang disebut anxiety, sebagai mekanisme psikosomatis yaitu dimana pikiran dan emosi mempengaruhi kondisi fisik tubuh."
"Assalamualaikum dokter, permisi bertanya dok.. Jadi kulit lengan saya itu sudah lama gata; dok, gatalnya semakin melebar dan bahkan karna saya garuk"" jadinya kulit saya sampe bernanah dok.. apakah penyebabnya dok? dan obat apa yg bisa saya gunakan untuk menyembuhkannya?","Kulit lengan yang terasa gatal, bernanah, dan terus melebar biasanya menandakan kulit yang terinfeksi, misalnya karena bakteri, jamur, parasit, atau mikroorganisme lainnya. Pada beberapa kasus, infeksi kulit ini bisa juga muncul sekunder memperparah kelainan kulit yang sudah terjadi sebelumnya, misalnya eksim, dermatitis kontak, gigitan serangga, biang keringat, xerosis, dan sebagainya."
